trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
T000003,05:07:36,05:08:06,7693,6,,0,0,
T000003,05:09:07,05:09:37,1256,7,,0,0,
T000003,05:10:39,05:11:09,4271,8,,0,0,
T000003,05:12:10,05:12:40,2724,9,,0,0,
T000003,05:13:41,05:14:11,4272,10,,0,0,
T000003,05:15:13,05:15:43,4273,11,,0,0,
T000003,05:16:44,05:17:14,4274,12,,0,0,
T000003,05:18:15,05:18:45,243,13,,0,0,
T000003,05:19:46,05:20:16,244,14,,0,0,
T000003,05:21:18,05:21:48,245,15,,0,0,
T000003,05:22:49,05:23:19,246,16,,0,0,
T000003,05:24:20,05:24:50,247,17,,0,0,
T000003,05:25:52,05:26:22,248,18,,0,0,
T000003,05:27:23,05:27:53,7739,19,,0,0,
T000003,05:28:54,05:29:24,250,20,,0,0,
T000003,05:30:26,05:30:56,249,21,,0,0,
T000003,05:31:57,05:32:27,251,22,,0,0,
T000003,05:33:28,05:33:58,252,23,,0,0,
T000003,05:35:00,05:35:30,253,24,,0,0,
T000003,05:36:31,05:37:01,254,25,,0,0,
T000003,05:38:02,05:38:32,255,26,,0,0,
T000003,05:39:33,05:40:03,256,27,,0,0,
T000003,05:41:05,05:41:35,258,28,,0,0,
T000003,05:42:36,05:43:06,259,29,,0,0,
T000003,05:44:07,05:44:37,260,30,,0,0,
T000003,05:45:39,05:46:09,261,31,,0,0,
T000003,05:47:10,05:47:40,262,32,,0,0,
T000003,05:48:41,05:49:11,263,33,,0,0,
T000003,05:50:13,05:50:43,264,34,,0,0,
T000003,05:51:44,05:52:14,265,35,,0,0,
T000003,05:53:15,05:53:45,266,36,,0,0,
T000003,05:54:46,05:55:16,268,37,,0,0,
T000003,05:56:18,05:56:48,267,38,,0,0,
T000003,05:57:49,05:58:19,270,39,,0,0,
T000003,05:59:20,05:59:50,271,40,,0,0,
T000003,06:00:52,06:01:22,272,41,,0,0,
T000003,06:02:23,06:02:53,273,42,,0,0,
T000003,06:03:54,06:04:24,275,43,,0,0,
T000003,06:05:26,06:05:56,277,44,,0,0,
T000003,06:06:57,06:07:27,1115,45,,0,0,
T000003,06:08:28,06:08:58,1239,46,,0,0,
T000003,06:10:00,06:10:30,166,47,,0,0,
T000004,05:00:00,05:00:30,166,1,,0,0,
T000004,05:01:53,05:02:23,167,2,,0,0,
T000004,05:03:47,05:04:17,172,3,,0,0,
T000004,05:05:40,05:06:10,168,4,,0,0,
T000004,05:07:34,05:08:04,169,5,,0,0,
T000004,05:09:27,05:09:57,174,6,,0,0,
T000004,05:11:21,05:11:51,173,7,,0,0,
T000004,05:13:14,05:13:44,176,8,,0,0,
T000004,05:15:08,05:15:38,177,9,,0,0,
T000004,05:17:01,05:17:31,178,10,,0,0,
T000004,05:18:55,05:19:25,180,11,,0,0,
T000004,05:20:48,05:21:18,181,12,,0,0,
T000004,05:22:42,05:23:12,179,13,,0,0,
T000004,05:24:35,05:25:05,183,14,,0,0,
T000004,05:26:29,05:26:59,182,15,,0,0,
T000004,05:28:22,05:28:52,185,16,,0,0,
T000004,05:30:16,05:30:46,184,17,,0,0,
T000004,05:32:09,05:32:39,187,18,,0,0,
T000004,05:34:03,05:34:33,186,19,,0,0,
T000004,05:35:56,05:36:26,188,20,,0,0,
T000004,05:37:50,05:38:20,190,21,,0,0,
T000004,05:39:43,05:40:13,191,22,,0,0,
T000004,05:41:37,05:42:07,189,23,,0,0,
T000004,05:43:30,05:44:00,193,24,,0,0,
T000004,05:45:24,05:45:54,192,25,,0,0,
T000004,05:47:17,05:47:47,196,26,,0,0,
T000004,05:49:11,05:49:41,194,27,,0,0,
T000004,05:51:04,05:51:34,198,28,,0,0,
T000004,05:52:58,05:53:28,195,29,,0,0,
T000004,05:54:51,05:55:21,197,30,,0,0,
T000004,05:56:45,05:57:15,200,31,,0,0,
T000004,05:58:38,05:59:08,199,32,,0,0,
T000004,06:00:32,06:01:02,201,33,,0,0,
T000004,06:02:25,06:02:55,82,34,,0,0,
T000004,06:04:19,06:04:49,7273,35,,0,0,
T000004,06:06:12,06:06:42,7274,36,,0,0,
T000004,06:08:06,06:08:36,7275,37,,0,0,
T000004,06:10:00,06:10:30,35,38,,0,0,
T000005,05:00:00,05:00:30,8,1,,0,0,
T000005,05:01:22,05:01:52,464,2,,0,0,
T000005,05:02:44,05:03:14,470,3,,0,0,
T000005,05:04:07,05:04:37,437,4,,0,0,
T000005,05:05:29,05:05:59,439,5,,0,0,
T000005,05:06:51,05:07:21,440,6,,0,0,
T000005,05:08:14,05:08:44,465,7,,0,0,
T000005,05:09:36,05:10:06,469,8,,0,0,
T000005,05:10:58,05:11:28,466,9,,0,0,
T000005,05:12:21,05:12:51,472,10,,0,0,
T000005,05:13:43,05:14:13,467,11,,0,0,
T000005,05:15:05,05:15:35,474,12,,0,0,
T000005,05:16:28,05:16:58,471,13,,0,0,
T000005,05:17:50,05:18:20,287,14,,0,0,
T000005,05:19:12,05:19:42,290,15,,0,0,
T000005,05:20:35,05:21:05,289,16,,0,0,
T000005,05:21:57,05:22:27,292,17,,0,0,
T000005,05:23:20,05:23:50,242,18,,0,0,
T000005,05:24:42,05:25:12,291,19,,0,0,
T000005,05:26:04,05:26:34,294,20,,0,0,
T000005,05:27:27,05:27:57,296,21,,0,0,
T000005,05:28:49,05:29:19,293,22,,0,0,
T000005,05:30:11,05:30:41,295,23,,0,0,
T000005,05:31:34,05:32:04,298,24,,0,0,
T000005,05:32:56,05:33:26,297,25,,0,0,
T000005,05:34:18,05:34:48,300,26,,0,0,
T000005,05:35:41,05:36:11,476,27,,0,0,
T000005,05:37:03,05:37:33,473,28,,0,0,
T000005,05:38:25,05:38:55,475,29,,0,0,
T000005,05:39:48,05:40:18,477,30,,0,0,
T000005,05:41:10,05:41:40,478,31,,0,0,
T000005,05:42:32,05:43:02,480,32,,0,0,
T000005,05:43:55,05:44:25,479,33,,0,0,
T000005,05:45:17,05:45:47,482,34,,0,0,
T000005,05:46:40,05:47:10,481,35,,0,0,
T000005,05:48:02,05:48:32,485,36,,0,0,
T000005,05:49:24,05:49:54,483,37,,0,0,
T000005,05:50:47,05:51:17,8196,38,,0,0,
T000005,05:52:09,05:52:39,484,39,,0,0,
T000005,05:53:31,05:54:01,486,40,,0,0,
T000005,05:54:54,05:55:24,489,41,,0,0,
T000005,05:56:16,05:56:46,491,42,,0,0,
T000005,05:57:38,05:58:08,488,43,,0,0,
T000005,05:59:01,05:59:31,493,44,,0,0,
T000005,06:00:23,06:00:53,490,45,,0,0,
T000005,06:01:45,06:02:15,492,46,,0,0,
T000005,06:03:08,06:03:38,497,47,,0,0,
T000005,06:04:30,06:05:00,494,48,,0,0,
T000005,06:05:52,06:06:22,7159,49,,0,0,
T000005,06:07:15,06:07:45,495,50,,0,0,
T000005,06:08:37,06:09:07,500,51,,0,0,
T000005,06:10:00,06:10:30,394,52,,0,0,
T000006,05:00:00,05:00:30,394,1,,0,0,
T000006,05:01:07,05:01:37,396,2,,0,0,
T000006,05:02:15,05:02:45,398,3,,0,0,
T000006,05:03:23,05:03:53,4392,4,,0,0,
T000006,05:04:30,05:05:00,401,5,,0,0,
T000006,05:05:38,05:06:08,400,6,,0,0,
T000006,05:06:46,05:07:16,402,7,,0,0,
T000006,05:07:54,05:08:24,403,8,,0,0,
T000006,05:09:01,05:09:31,404,9,,0,0,
T000006,05:10:09,05:10:39,405,10,,0,0,
T000006,05:11:17,05:11:47,406,11,,0,0,
T000006,05:12:25,05:12:55,408,12,,0,0,
T000006,05:13:32,05:14:02,407,13,,0,0,
T000006,05:14:40,05:15:10,411,14,,0,0,
T000006,05:15:48,05:16:18,409,15,,0,0,
T000006,05:16:56,05:17:26,8195,16,,0,0,
T000006,05:18:03,05:18:33,410,17,,0,0,
T000006,05:19:11,05:19:41,413,18,,0,0,
T000006,05:20:19,05:20:49,412,19,,0,0,
T000006,05:21:27,05:21:57,414,20,,0,0,
T000006,05:22:34,05:23:04,415,21,,0,0,
T000006,05:23:42,05:24:12,416,22,,0,0,
T000006,05:24:50,05:25:20,8154,23,,0,0,
T000006,05:25:58,05:26:28,417,24,,0,0,
T000006,05:27:05,05:27:35,418,25,,0,0,
T000006,05:28:13,05:28:43,419,26,,0,0,
T000006,05:29:21,05:29:51,420,27,,0,0,
T000006,05:30:29,05:30:59,421,28,,0,0,
T000006,05:31:36,05:32:06,423,29,,0,0,
T000006,05:32:44,05:33:14,368,30,,0,0,
T000006,05:33:52,05:34:22,367,31,,0,0,
T000006,05:35:00,05:35:30,369,32,,0,0,
T000006,05:36:07,05:36:37,373,33,,0,0,
T000006,05:37:15,05:37:45,370,34,,0,0,
T000006,05:38:23,05:38:53,374,35,,0,0,
T000006,05:39:30,05:40:00,371,36,,0,0,
T000006,05:40:38,05:41:08,372,37,,0,0,
T000006,05:41:46,05:42:16,378,38,,0,0,
T000006,05:42:54,05:43:24,375,39,,0,0,
T000006,05:44:01,05:44:31,377,40,,0,0,
T000006,05:45:09,05:45:39,376,41,,0,0,
T000006,05:46:17,05:46:47,379,42,,0,0,
T000006,05:47:25,05:47:55,381,43,,0,0,
T000006,05:48:32,05:49:02,380,44,,0,0,
T000006,05:49:40,05:50:10,383,45,,0,0,
T000006,05:50:48,05:51:18,382,46,,0,0,
T000006,05:51:56,05:52:26,89,47,,0,0,
T000006,05:53:03,05:53:33,90,48,,0,0,
T000006,05:54:11,05:54:41,425,49,,0,0,
T000006,05:55:19,05:55:49,424,50,,0,0,
T000006,05:56:27,05:56:57,426,51,,0,0,
T000006,05:57:34,05:58:04,429,52,,0,0,
T000006,05:58:42,05:59:12,427,53,,0,0,
T000006,05:59:50,06:00:20,430,54,,0,0,
T000006,06:00:58,06:01:28,428,55,,0,0,
T000006,06:02:05,06:02:35,432,56,,0,0,
T000006,06:03:13,06:03:43,431,57,,0,0,
T000006,06:04:21,06:04:51,433,58,,0,0,
T000006,06:05:29,06:05:59,434,59,,0,0,
T000006,06:06:36,06:07:06,436,60,,0,0,
T000006,06:07:44,06:08:14,435,61,,0,0,
T000006,06:08:52,06:09:22,438,62,,0,0,
T000006,06:10:00,06:10:30,8,63,,0,0,
T000007,05:00:00,05:00:30,8,1,,0,0,
T000007,05:01:11,05:01:41,621,2,,0,0,
T000007,05:02:22,05:02:52,620,3,,0,0,
T000007,05:03:33,05:04:03,622,4,,0,0,
T000007,05:04:44,05:05:14,624,5,,0,0,
T000007,05:05:55,05:06:25,625,6,,0,0,
T000007,05:07:07,05:07:37,623,7,,0,0,
T000007,05:08:18,05:08:48,626,8,,0,0,
T000007,05:09:29,05:09:59,627,9,,0,0,
T000007,05:10:40,05:11:10,628,10,,0,0,
T000007,05:11:51,05:12:21,629,11,,0,0,
T000007,05:13:03,05:13:33,1386,12,,0,0,
T000007,05:14:14,05:14:44,117,13,,0,0,
T000007,05:15:25,05:15:55,116,14,,0,0,
T000007,05:16:36,05:17:06,4150,15,,0,0,
T000007,05:17:47,05:18:17,630,16,,0,0,
T000007,05:18:58,05:19:28,631,17,,0,0,
T000007,05:20:10,05:20:40,632,18,,0,0,
T000007,05:21:21,05:21:51,633,19,,0,0,
T000007,05:22:32,05:23:02,634,20,,0,0,
T000007,05:23:43,05:24:13,635,21,,0,0,
T000007,05:24:54,05:25:24,636,22,,0,0,
T000007,05:26:06,05:26:36,637,23,,0,0,
T000007,05:27:17,05:27:47,638,24,,0,0,
T000007,05:28:28,05:28:58,639,25,,0,0,
T000007,05:29:39,05:30:09,640,26,,0,0,
T000007,05:30:50,05:31:20,3422,27,,0,0,
T000007,05:32:02,05:32:32,3430,28,,0,0,
T000007,05:33:13,05:33:43,641,29,,0,0,
T000007,05:34:24,05:34:54,643,30,,0,0,
T000007,05:35:35,05:36:05,642,31,,0,0,
T000007,05:36:46,05:37:16,644,32,,0,0,
T000007,05:37:57,05:38:27,645,33,,0,0,
T000007,05:39:09,05:39:39,646,34,,0,0,
T000007,05:40:20,05:40:50,647,35,,0,0,
T000007,05:41:31,05:42:01,648,36,,0,0,
T000007,05:42:42,05:43:12,649,37,,0,0,
T000007,05:43:53,05:44:23,650,38,,0,0,
T000007,05:45:05,05:45:35,651,39,,0,0,
T000007,05:46:16,05:46:46,653,40,,0,0,
T000007,05:47:27,05:47:57,652,41,,0,0,
T000007,05:48:38,05:49:08,655,42,,0,0,
T000007,05:49:49,05:50:19,654,43,,0,0,
T000007,05:51:01,05:51:31,657,44,,0,0,
T000007,05:52:12,05:52:42,656,45,,0,0,
T000007,05:53:23,05:53:53,659,46,,0,0,
T000007,05:54:34,05:55:04,658,47,,0,0,
T000007,05:55:45,05:56:15,661,48,,0,0,
T000007,05:56:56,05:57:26,660,49,,0,0,
T000007,05:58:08,05:58:38,662,50,,0,0,
T000007,05:59:19,05:59:49,663,51,,0,0,
T000007,06:00:30,06:01:00,664,52,,0,0,
T000007,06:01:41,06:02:11,665,53,,0,0,
T000007,06:02:52,06:03:22,4159,54,,0,0,
T000007,06:04:04,06:04:34,667,55,,0,0,
T000007,06:05:15,06:05:45,666,56,,0,0,
T000007,06:06:26,06:06:56,669,57,,0,0,
T000007,06:07:37,06:08:07,668,58,,0,0,
T000007,06:08:48,06:09:18,671,59,,0,0,
T000007,06:10:00,06:10:30,3043,60,,0,0,
T000008,05:00:00,05:00:30,3043,1,,0,0,
T000008,05:01:12,05:01:42,672,2,,0,0,
T000008,05:02:24,05:02:54,674,3,,0,0,
T000008,05:03:37,05:04:07,677,4,,0,0,
T000008,05:04:49,05:05:19,676,5,,0,0,
T000008,05:06:02,05:06:32,679,6,,0,0,
T000008,05:07:14,05:07:44,678,7,,0,0,
T000008,05:08:26,05:08:56,681,8,,0,0,
T000008,05:09:39,05:10:09,680,9,,0,0,
T000008,05:10:51,05:11:21,683,10,,0,0,
T000008,05:12:04,05:12:34,682,11,,0,0,
T000008,05:13:16,05:13:46,685,12,,0,0,
T000008,05:14:28,05:14:58,684,13,,0,0,
T000008,05:15:41,05:16:11,687,14,,0,0,
T000008,05:16:53,05:17:23,686,15,,0,0,
T000008,05:18:06,05:18:36,689,16,,0,0,
T000008,05:19:18,05:19:48,688,17,,0,0,
T000008,05:20:31,05:21:01,691,18,,0,0,
T000008,05:21:43,05:22:13,690,19,,0,0,
T000008,05:22:55,05:23:25,693,20,,0,0,
T000008,05:24:08,05:24:38,692,21,,0,0,
T000008,05:25:20,05:25:50,695,22,,0,0,
T000008,05:26:33,05:27:03,694,23,,0,0,
T000008,05:27:45,05:28:15,697,24,,0,0,
T000008,05:28:57,05:29:27,696,25,,0,0,
T000008,05:30:10,05:30:40,3435,26,,0,0,
T000008,05:31:22,05:31:52,699,27,,0,0,
T000008,05:32:35,05:33:05,698,28,,0,0,
T000008,05:33:47,05:34:17,701,29,,0,0,
T000008,05:35:00,05:35:30,700,30,,0,0,
T000008,05:36:12,05:36:42,703,31,,0,0,
T000008,05:37:24,05:37:54,3431,32,,0,0,
T000008,05:38:37,05:39:07,3432,33,,0,0,
T000008,05:39:49,05:40:19,702,34,,0,0,
T000008,05:41:02,05:41:32,704,35,,0,0,
T000008,05:42:14,05:42:44,705,36,,0,0,
T000008,05:43:26,05:43:56,706,37,,0,0,
T000008,05:44:39,05:45:09,711,38,,0,0,
T000008,05:45:51,05:46:21,708,39,,0,0,
T000008,05:47:04,05:47:34,712,40,,0,0,
T000008,05:48:16,05:48:46,709,41,,0,0,
T000008,05:49:28,05:49:58,714,42,,0,0,
T000008,05:50:41,05:51:11,710,43,,0,0,
T000008,05:51:53,05:52:23,716,44,,0,0,
T000008,05:53:06,05:53:36,713,45,,0,0,
T000008,05:54:18,05:54:48,119,46,,0,0,
T000008,05:55:31,05:56:01,4149,47,,0,0,
T000008,05:56:43,05:57:13,140,48,,0,0,
T000008,05:57:55,05:58:25,718,49,,0,0,
T000008,05:59:08,05:59:38,715,50,,0,0,
T000008,06:00:20,06:00:50,720,51,,0,0,
T000008,06:01:33,06:02:03,717,52,,0,0,
T000008,06:02:45,06:03:15,724,53,,0,0,
T000008,06:03:57,06:04:27,719,54,,0,0,
T000008,06:05:10,06:05:40,721,55,,0,0,
T000008,06:06:22,06:06:52,723,56,,0,0,
T000008,06:07:35,06:08:05,722,57,,0,0,
T000008,06:08:47,06:09:17,464,58,,0,0,
T000008,06:10:00,06:10:30,8,59,,0,0,
T000009,05:00:00,05:00:30,35,1,,0,0,
T000009,05:00:58,05:01:28,7276,2,,0,0,
T000009,05:01:57,05:02:27,7277,3,,0,0,
T000009,05:02:56,05:03:26,7278,4,,0,0,
T000009,05:03:55,05:04:25,4275,5,,0,0,
T000009,05:04:54,05:05:24,7693,6,,0,0,
T000009,05:05:52,05:06:22,1256,7,,0,0,
T000009,05:06:51,05:07:21,7588,8,,0,0,
T000009,05:07:50,05:08:20,32,9,,0,0,
T000009,05:08:49,05:09:19,2114,10,,0,0,
T000009,05:09:48,05:10:18,2115,11,,0,0,
T000009,05:10:47,05:11:17,2116,12,,0,0,
T000009,05:11:45,05:12:15,855,13,,0,0,
T000009,05:12:44,05:13:14,857,14,,0,0,
T000009,05:13:43,05:14:13,858,15,,0,0,
T000009,05:14:42,05:15:12,860,16,,0,0,
T000009,05:15:41,05:16:11,843,17,,0,0,
T000009,05:16:40,05:17:10,2122,18,,0,0,
T000009,05:17:38,05:18:08,2123,19,,0,0,
T000009,05:18:37,05:19:07,2125,20,,0,0,
T000009,05:19:36,05:20:06,2124,21,,0,0,
T000009,05:20:35,05:21:05,2126,22,,0,0,
T000009,05:21:34,05:22:04,2130,23,,0,0,
T000009,05:22:32,05:23:02,2186,24,,0,0,
T000009,05:23:31,05:24:01,2127,25,,0,0,
T000009,05:24:30,05:25:00,2128,26,,0,0,
T000009,05:25:29,05:25:59,2132,27,,0,0,
T000009,05:26:28,05:26:58,2131,28,,0,0,
T000009,05:27:27,05:27:57,2135,29,,0,0,
T000009,05:28:25,05:28:55,2133,30,,0,0,
T000009,05:29:24,05:29:54,2136,31,,0,0,
T000009,05:30:23,05:30:53,2134,32,,0,0,
T000009,05:31:22,05:31:52,1362,33,,0,0,
T000009,05:32:21,05:32:51,1358,34,,0,0,
T000009,05:33:20,05:33:50,1360,35,,0,0,
T000009,05:34:18,05:34:48,1366,36,,0,0,
T000009,05:35:17,05:35:47,1055,37,,0,0,
T000009,05:36:16,05:36:46,1147,38,,0,0,
T000009,05:37:15,05:37:45,1058,39,,0,0,
T000009,05:38:14,05:38:44,1061,40,,0,0,
T000009,05:39:12,05:39:42,1063,41,,0,0,
T000009,05:40:11,05:40:41,1060,42,,0,0,
T000009,05:41:10,05:41:40,1065,43,,0,0,
T000009,05:42:09,05:42:39,1062,44,,0,0,
T000009,05:43:08,05:43:38,1066,45,,0,0,
T000009,05:44:07,05:44:37,1064,46,,0,0,
T000009,05:45:05,05:45:35,2138,47,,0,0,
T000009,05:46:04,05:46:34,2137,48,,0,0,
T000009,05:47:03,05:47:33,2141,49,,0,0,
T000009,05:48:02,05:48:32,2139,50,,0,0,
T000009,05:49:01,05:49:31,2144,51,,0,0,
T000009,05:50:00,05:50:30,2140,52,,0,0,
T000010,05:00:00,05:00:30,2140,1,,0,0,
T000010,05:01:06,05:01:36,2174,2,,0,0,
T000010,05:02:13,05:02:43,2173,3,,0,0,
T000010,05:03:20,05:03:50,3689,4,,0,0,
T000010,05:04:26,05:04:56,2176,5,,0,0,
T000010,05:05:33,05:06:03,2177,6,,0,0,
T000010,05:06:40,05:07:10,1141,7,,0,0,
T000010,05:07:46,05:08:16,1143,8,,0,0,
T000010,05:08:53,05:09:23,1142,9,,0,0,
T000010,05:10:00,05:10:30,1144,10,,0,0,
T000010,05:11:06,05:11:36,1145,11,,0,0,
T000010,05:12:13,05:12:43,1146,12,,0,0,
T000010,05:13:20,05:13:50,1150,13,,0,0,
T000010,05:14:26,05:14:56,1148,14,,0,0,
T000010,05:15:33,05:16:03,1059,15,,0,0,
T000010,05:16:40,05:17:10,1364,16,,0,0,
T000010,05:17:46,05:18:16,1363,17,,0,0,
T000010,05:18:53,05:19:23,1367,18,,0,0,
T000010,05:20:00,05:20:30,1365,19,,0,0,
T000010,05:21:06,05:21:36,2175,20,,0,0,
T000010,05:22:13,05:22:43,2178,21,,0,0,
T000010,05:23:20,05:23:50,2179,22,,0,0,
T000010,05:24:26,05:24:56,2180,23,,0,0,
T000010,05:25:33,05:26:03,2181,24,,0,0,
T000010,05:26:40,05:27:10,2182,25,,0,0,
T000010,05:27:46,05:28:16,2129,26,,0,0,
T000010,05:28:53,05:29:23,2183,27,,0,0,
T000010,05:30:00,05:30:30,2184,28,,0,0,
T000010,05:31:06,05:31:36,2189,29,,0,0,
T000010,05:32:13,05:32:43,2185,30,,0,0,
T000010,05:33:20,05:33:50,2187,31,,0,0,
T000010,05:34:26,05:34:56,2190,32,,0,0,
T000010,05:35:33,05:36:03,2188,33,,0,0,
T000010,05:36:40,05:37:10,7821,34,,0,0,
T000010,05:37:46,05:38:16,848,35,,0,0,
T000010,05:38:53,05:39:23,847,36,,0,0,
T000010,05:40:00,05:40:30,850,37,,0,0,
T000010,05:41:06,05:41:36,849,38,,0,0,
T000010,05:42:13,05:42:43,852,39,,0,0,
T000010,05:43:20,05:43:50,851,40,,0,0,
T000010,05:44:26,05:44:56,2028,41,,0,0,
T000010,05:45:33,05:46:03,82,42,,0,0,
T000010,05:46:40,05:47:10,7273,43,,0,0,
T000010,05:47:46,05:48:16,7274,44,,0,0,
T000010,05:48:53,05:49:23,7275,45,,0,0,
T000010,05:50:00,05:50:30,35,46,,0,0,
T000011,05:00:00,05:00:30,2467,1,,0,0,
T000011,05:01:31,05:02:01,2472,2,,0,0,
T000011,05:03:02,05:03:32,2480,3,,0,0,
T000011,05:04:33,05:05:03,2482,4,,0,0,
T000011,05:06:05,05:06:35,2474,5,,0,0,
T000011,05:07:36,05:08:06,4170,6,,0,0,
T000011,05:09:07,05:09:37,4171,7,,0,0,
T000011,05:10:39,05:11:09,4172,8,,0,0,
T000011,05:12:10,05:12:40,4173,9,,0,0,
T000011,05:13:41,05:14:11,4002,10,,0,0,
T000011,05:15:13,05:15:43,4004,11,,0,0,
T000011,05:16:44,05:17:14,3996,12,,0,0,
T000011,05:18:15,05:18:45,3997,13,,0,0,
T000011,05:19:46,05:20:16,4006,14,,0,0,
T000011,05:21:18,05:21:48,4187,15,,0,0,
T000011,05:22:49,05:23:19,4188,16,,0,0,
T000011,05:24:20,05:24:50,4189,17,,0,0,
T000011,05:25:52,05:26:22,7678,18,,0,0,
T000011,05:27:23,05:27:53,7946,19,,0,0,
T000011,05:28:54,05:29:24,7948,20,,0,0,
T000011,05:30:26,05:30:56,8121,21,,0,0,
T000011,05:31:57,05:32:27,4192,22,,0,0,
T000011,05:33:28,05:33:58,4533,23,,0,0,
T000011,05:35:00,05:35:30,3265,24,,0,0,
T000011,05:36:31,05:37:01,4193,25,,0,0,
T000011,05:38:02,05:38:32,4194,26,,0,0,
T000011,05:39:33,05:40:03,4195,27,,0,0,
T000011,05:41:05,05:41:35,4196,28,,0,0,
T000011,05:42:36,05:43:06,4197,29,,0,0,
T000011,05:44:07,05:44:37,4198,30,,0,0,
T000011,05:45:39,05:46:09,8196,31,,0,0,
T000011,05:47:10,05:47:40,484,32,,0,0,
T000011,05:48:41,05:49:11,486,33,,0,0,
T000011,05:50:13,05:50:43,489,34,,0,0,
T000011,05:51:44,05:52:14,491,35,,0,0,
T000011,05:53:15,05:53:45,488,36,,0,0,
T000011,05:54:46,05:55:16,1540,37,,0,0,
T000011,05:56:18,05:56:48,1542,38,,0,0,
T000011,05:57:49,05:58:19,1543,39,,0,0,
T000011,05:59:20,05:59:50,1545,40,,0,0,
T000011,06:00:52,06:01:22,1544,41,,0,0,
T000011,06:02:23,06:02:53,1547,42,,0,0,
T000011,06:03:54,06:04:24,1546,43,,0,0,
T000011,06:05:26,06:05:56,1550,44,,0,0,
T000011,06:06:57,06:07:27,1548,45,,0,0,
T000011,06:08:28,06:08:58,1552,46,,0,0,
T000011,06:10:00,06:10:30,2479,47,,0,0,
T000012,05:00:00,05:00:30,2479,1,,0,0,
T000012,05:01:19,05:01:49,347,2,,0,0,
